                                             LOG (LUMINOSITY)
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr
1.24600e+03    3.91857e+01    3.94801e+01    3.96666e+01    3.98051e+01    3.99232e+01    4.00206e+01    4.00874e+01    4.01325e+01    4.01667e+01    4.01941e+01    4.02164e+01    4.02347e+01    4.02506e+01    4.02642e+01    4.02763e+01    4.02870e+01    4.02969e+01    4.03059e+01    4.03139e+01    4.03214e+01    
1.24675e+03    3.91627e+01    3.94570e+01    3.96431e+01    3.97807e+01    3.98952e+01    3.99923e+01    4.00612e+01    4.01082e+01    4.01438e+01    4.01722e+01    4.01954e+01    4.02144e+01    4.02309e+01    4.02450e+01    4.02575e+01    4.02685e+01    4.02787e+01    4.02879e+01    4.02962e+01    4.03038e+01    
1.24750e+03    3.91338e+01    3.94259e+01    3.96081e+01    3.97419e+01    3.98529e+01    3.99539e+01    4.00277e+01    4.00783e+01    4.01165e+01    4.01469e+01    4.01716e+01    4.01918e+01    4.02092e+01    4.02241e+01    4.02373e+01    4.02487e+01    4.02594e+01    4.02689e+01    4.02775e+01    4.02855e+01    
1.24825e+03    3.91593e+01    3.94529e+01    3.96384e+01    3.97754e+01    3.98913e+01    3.99890e+01    4.00581e+01    4.01054e+01    4.01413e+01    4.01700e+01    4.01934e+01    4.02126e+01    4.02292e+01    4.02434e+01    4.02560e+01    4.02669e+01    4.02771e+01    4.02862e+01    4.02944e+01    4.03020e+01    
1.24900e+03    3.91618e+01    3.94554e+01    3.96415e+01    3.97801e+01    3.98974e+01    3.99956e+01    4.00639e+01    4.01104e+01    4.01457e+01    4.01740e+01    4.01970e+01    4.02159e+01    4.02323e+01    4.02463e+01    4.02587e+01    4.02694e+01    4.02795e+01    4.02885e+01    4.02966e+01    4.03041e+01    
1.24975e+03    3.91645e+01    3.94591e+01    3.96452e+01    3.97822e+01    3.98986e+01    3.99958e+01    4.00637e+01    4.01101e+01    4.01452e+01    4.01734e+01    4.01964e+01    4.02153e+01    4.02316e+01    4.02456e+01    4.02580e+01    4.02688e+01    4.02788e+01    4.02879e+01    4.02961e+01    4.03036e+01    
1.25050e+03    3.91022e+01    3.93939e+01    3.95766e+01    3.97105e+01    3.98209e+01    3.99237e+01    4.00004e+01    4.00536e+01    4.00935e+01    4.01251e+01    4.01508e+01    4.01718e+01    4.01898e+01    4.02053e+01    4.02190e+01    4.02309e+01    4.02420e+01    4.02520e+01    4.02609e+01    4.02692e+01    
1.25125e+03    3.91626e+01    3.94563e+01    3.96420e+01    3.97797e+01    3.98964e+01    3.99947e+01    4.00631e+01    4.01097e+01    4.01453e+01    4.01738e+01    4.01970e+01    4.02161e+01    4.02327e+01    4.02470e+01    4.02597e+01    4.02708e+01    4.02812e+01    4.02905e+01    4.02989e+01    4.03066e+01    
1.25200e+03    3.91595e+01    3.94530e+01    3.96385e+01    3.97763e+01    3.98928e+01    3.99911e+01    4.00600e+01    4.01070e+01    4.01428e+01    4.01714e+01    4.01948e+01    4.02141e+01    4.02308e+01    4.02451e+01    4.02579e+01    4.02691e+01    4.02795e+01    4.02889e+01    4.02973e+01    4.03051e+01    
1.25275e+03    3.91630e+01    3.94564e+01    3.96419e+01    3.97796e+01    3.98963e+01    3.99944e+01    4.00630e+01    4.01098e+01    4.01454e+01    4.01739e+01    4.01973e+01    4.02165e+01    4.02331e+01    4.02474e+01    4.02601e+01    4.02713e+01    4.02817e+01    4.02910e+01    4.02995e+01    4.03073e+01    
1.25350e+03    3.91491e+01    3.94423e+01    3.96275e+01    3.97645e+01    3.98792e+01    3.99781e+01    4.00486e+01    4.00971e+01    4.01340e+01    4.01634e+01    4.01874e+01    4.02071e+01    4.02243e+01    4.02389e+01    4.02520e+01    4.02634e+01    4.02741e+01    4.02837e+01    4.02923e+01    4.03003e+01    
1.25425e+03    3.91572e+01    3.94507e+01    3.96357e+01    3.97727e+01    3.98883e+01    3.99872e+01    4.00575e+01    4.01056e+01    4.01422e+01    4.01715e+01    4.01954e+01    4.02150e+01    4.02320e+01    4.02467e+01    4.02596e+01    4.02710e+01    4.02816e+01    4.02911e+01    4.02997e+01    4.03076e+01    
1.25500e+03    3.91529e+01    3.94456e+01    3.96308e+01    3.97691e+01    3.98864e+01    3.99863e+01    4.00570e+01    4.01054e+01    4.01423e+01    4.01718e+01    4.01958e+01    4.02156e+01    4.02327e+01    4.02474e+01    4.02605e+01    4.02719e+01    4.02825e+01    4.02920e+01    4.03006e+01    4.03085e+01    
1.25575e+03    3.91675e+01    3.94617e+01    3.96471e+01    3.97839e+01    3.99000e+01    3.99978e+01    4.00664e+01    4.01132e+01    4.01491e+01    4.01779e+01    4.02013e+01    4.02206e+01    4.02374e+01    4.02518e+01    4.02646e+01    4.02757e+01    4.02860e+01    4.02953e+01    4.03037e+01    4.03115e+01    
1.25650e+03    3.91516e+01    3.94450e+01    3.96302e+01    3.97675e+01    3.98838e+01    3.99826e+01    4.00519e+01    4.00993e+01    4.01355e+01    4.01644e+01    4.01880e+01    4.02074e+01    4.02243e+01    4.02387e+01    4.02515e+01    4.02626e+01    4.02730e+01    4.02822e+01    4.02906e+01    4.02984e+01    
1.25725e+03    3.91535e+01    3.94484e+01    3.96350e+01    3.97721e+01    3.98884e+01    3.99851e+01    4.00528e+01    4.00990e+01    4.01342e+01    4.01625e+01    4.01855e+01    4.02043e+01    4.02207e+01    4.02348e+01    4.02472e+01    4.02580e+01    4.02681e+01    4.02772e+01    4.02854e+01    4.02929e+01    
1.25800e+03    3.91349e+01    3.94281e+01    3.96134e+01    3.97511e+01    3.98686e+01    3.99687e+01    4.00389e+01    4.00868e+01    4.01230e+01    4.01520e+01    4.01755e+01    4.01947e+01    4.02114e+01    4.02256e+01    4.02381e+01    4.02490e+01    4.02591e+01    4.02681e+01    4.02763e+01    4.02838e+01    
1.25875e+03    3.91559e+01    3.94502e+01    3.96367e+01    3.97751e+01    3.98938e+01    3.99921e+01    4.00599e+01    4.01059e+01    4.01408e+01    4.01688e+01    4.01915e+01    4.02101e+01    4.02261e+01    4.02398e+01    4.02519e+01    4.02623e+01    4.02720e+01    4.02806e+01    4.02884e+01    4.02955e+01    
1.25950e+03    3.90615e+01    3.93518e+01    3.95323e+01    3.96642e+01    3.97758e+01    3.98847e+01    3.99667e+01    4.00234e+01    4.00658e+01    4.00992e+01    4.01260e+01    4.01477e+01    4.01663e+01    4.01821e+01    4.01958e+01    4.02076e+01    4.02184e+01    4.02281e+01    4.02367e+01    4.02446e+01    
1.26025e+03    3.90642e+01    3.93544e+01    3.95354e+01    3.96665e+01    3.97739e+01    3.98801e+01    3.99617e+01    4.00184e+01    4.00604e+01    4.00936e+01    4.01202e+01    4.01418e+01    4.01602e+01    4.01758e+01    4.01894e+01    4.02010e+01    4.02117e+01    4.02213e+01    4.02298e+01    4.02377e+01    
1.26100e+03    3.91137e+01    3.94058e+01    3.95902e+01    3.97280e+01    3.98452e+01    3.99478e+01    4.00207e+01    4.00703e+01    4.01074e+01    4.01369e+01    4.01608e+01    4.01801e+01    4.01967e+01    4.02108e+01    4.02231e+01    4.02337e+01    4.02435e+01    4.02522e+01    4.02601e+01    4.02673e+01    
1.26175e+03    3.91433e+01    3.94370e+01    3.96226e+01    3.97611e+01    3.98795e+01    3.99804e+01    4.00506e+01    4.00979e+01    4.01335e+01    4.01618e+01    4.01847e+01    4.02033e+01    4.02193e+01    4.02329e+01    4.02448e+01    4.02551e+01    4.02646e+01    4.02731e+01    4.02807e+01    4.02876e+01    
1.26250e+03    3.91559e+01    3.94500e+01    3.96362e+01    3.97749e+01    3.98931e+01    3.99927e+01    4.00618e+01    4.01084e+01    4.01435e+01    4.01716e+01    4.01942e+01    4.02126e+01    4.02285e+01    4.02420e+01    4.02538e+01    4.02639e+01    4.02733e+01    4.02817e+01    4.02892e+01    4.02961e+01    
1.26325e+03    3.91546e+01    3.94486e+01    3.96352e+01    3.97746e+01    3.98935e+01    3.99932e+01    4.00624e+01    4.01091e+01    4.01444e+01    4.01726e+01    4.01954e+01    4.02139e+01    4.02299e+01    4.02434e+01    4.02552e+01    4.02654e+01    4.02748e+01    4.02832e+01    4.02907e+01    4.02976e+01    
