                                             LOG (LUMINOSITY)
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr          30Myr          40Myr          50Myr           60Myr         70Myr           80Myr         90Myr           100Myr
1.02380e+03    3.90854e+01    3.93726e+01    3.95501e+01    3.96756e+01    3.97964e+01    3.98992e+01    3.99745e+01    4.00256e+01    4.00605e+01    4.00870e+01    4.01085e+01    4.01260e+01    4.01410e+01    4.01532e+01    4.01634e+01    4.01714e+01    4.01783e+01    4.01840e+01    4.01889e+01    4.01932e+01    4.02205e+01    4.02343e+01    4.02402e+01    4.02430e+01    4.02445e+01    4.02457e+01    4.02466e+01    4.02473e+01    
1.02400e+03    3.90123e+01    3.92957e+01    3.94683e+01    3.95854e+01    3.97015e+01    3.98076e+01    3.98861e+01    3.99385e+01    3.99738e+01    4.00001e+01    4.00216e+01    4.00392e+01    4.00543e+01    4.00668e+01    4.00772e+01    4.00856e+01    4.00928e+01    4.00989e+01    4.01041e+01    4.01088e+01    4.01397e+01    4.01558e+01    4.01626e+01    4.01657e+01    4.01673e+01    4.01685e+01    4.01694e+01    4.01701e+01    
1.02420e+03    3.89290e+01    3.92093e+01    3.93780e+01    3.94877e+01    3.95962e+01    3.97076e+01    3.97912e+01    3.98457e+01    3.98811e+01    3.99074e+01    3.99292e+01    3.99473e+01    3.99631e+01    3.99763e+01    3.99874e+01    3.99965e+01    4.00044e+01    4.00111e+01    4.00170e+01    4.00222e+01    4.00581e+01    4.00765e+01    4.00836e+01    4.00863e+01    4.00875e+01    4.00884e+01    4.00892e+01    4.00898e+01    
1.02440e+03    3.88743e+01    3.91545e+01    3.93238e+01    3.94360e+01    3.95435e+01    3.96598e+01    3.97489e+01    3.98075e+01    3.98460e+01    3.98742e+01    3.98970e+01    3.99156e+01    3.99315e+01    3.99447e+01    3.99559e+01    3.99650e+01    3.99730e+01    3.99799e+01    3.99859e+01    3.99914e+01    4.00295e+01    4.00503e+01    4.00591e+01    4.00633e+01    4.00656e+01    4.00674e+01    4.00688e+01    4.00699e+01    
1.02460e+03    3.88248e+01    3.91028e+01    3.92699e+01    3.93792e+01    3.94819e+01    3.95976e+01    3.96877e+01    3.97472e+01    3.97864e+01    3.98155e+01    3.98391e+01    3.98584e+01    3.98749e+01    3.98886e+01    3.99003e+01    3.99098e+01    3.99182e+01    3.99254e+01    3.99318e+01    3.99375e+01    3.99793e+01    4.00028e+01    4.00128e+01    4.00175e+01    4.00201e+01    4.00220e+01    4.00234e+01    4.00245e+01    
1.02480e+03    3.87201e+01    3.89924e+01    3.91564e+01    3.92658e+01    3.93635e+01    3.94803e+01    3.95719e+01    3.96325e+01    3.96732e+01    3.97039e+01    3.97291e+01    3.97499e+01    3.97678e+01    3.97828e+01    3.97955e+01    3.98060e+01    3.98152e+01    3.98231e+01    3.98302e+01    3.98366e+01    3.98861e+01    3.99149e+01    3.99268e+01    3.99322e+01    3.99350e+01    3.99371e+01    3.99388e+01    3.99401e+01    
1.02500e+03    3.86278e+01    3.88940e+01    3.90534e+01    3.91613e+01    3.92563e+01    3.93650e+01    3.94539e+01    3.95143e+01    3.95559e+01    3.95881e+01    3.96149e+01    3.96373e+01    3.96568e+01    3.96732e+01    3.96872e+01    3.96987e+01    3.97089e+01    3.97178e+01    3.97257e+01    3.97330e+01    3.97915e+01    3.98270e+01    3.98428e+01    3.98505e+01    3.98548e+01    3.98575e+01    3.98593e+01    3.98605e+01    
1.02520e+03    3.85376e+01    3.87991e+01    3.89547e+01    3.90604e+01    3.91531e+01    3.92585e+01    3.93446e+01    3.94049e+01    3.94486e+01    3.94832e+01    3.95117e+01    3.95353e+01    3.95557e+01    3.95727e+01    3.95872e+01    3.95992e+01    3.96099e+01    3.96193e+01    3.96276e+01    3.96354e+01    3.97017e+01    3.97426e+01    3.97590e+01    3.97662e+01    3.97700e+01    3.97730e+01    3.97756e+01    3.97775e+01    
1.02540e+03    3.85034e+01    3.87656e+01    3.89220e+01    3.90278e+01    3.91191e+01    3.92236e+01    3.93033e+01    3.93587e+01    3.94007e+01    3.94343e+01    3.94617e+01    3.94842e+01    3.95035e+01    3.95196e+01    3.95333e+01    3.95449e+01    3.95553e+01    3.95645e+01    3.95728e+01    3.95807e+01    3.96525e+01    3.96981e+01    3.97162e+01    3.97238e+01    3.97276e+01    3.97303e+01    3.97323e+01    3.97340e+01    
1.02560e+03    3.84840e+01    3.87460e+01    3.89010e+01    3.90029e+01    3.90924e+01    3.91971e+01    3.92759e+01    3.93297e+01    3.93708e+01    3.94041e+01    3.94320e+01    3.94552e+01    3.94753e+01    3.94922e+01    3.95068e+01    3.95189e+01    3.95299e+01    3.95396e+01    3.95484e+01    3.95566e+01    3.96320e+01    3.96799e+01    3.96989e+01    3.97072e+01    3.97113e+01    3.97141e+01    3.97161e+01    3.97178e+01    
1.02580e+03    3.84572e+01    3.87198e+01    3.88780e+01    3.89898e+01    3.90889e+01    3.92005e+01    3.92827e+01    3.93389e+01    3.93820e+01    3.94172e+01    3.94466e+01    3.94710e+01    3.94923e+01    3.95101e+01    3.95253e+01    3.95380e+01    3.95494e+01    3.95594e+01    3.95683e+01    3.95768e+01    3.96507e+01    3.96962e+01    3.97137e+01    3.97209e+01    3.97245e+01    3.97275e+01    3.97301e+01    3.97323e+01    
1.02600e+03    3.85209e+01    3.87899e+01    3.89525e+01    3.90664e+01    3.91775e+01    3.92959e+01    3.93779e+01    3.94311e+01    3.94702e+01    3.95021e+01    3.95297e+01    3.95534e+01    3.95742e+01    3.95917e+01    3.96065e+01    3.96185e+01    3.96291e+01    3.96382e+01    3.96463e+01    3.96538e+01    3.97173e+01    3.97565e+01    3.97717e+01    3.97780e+01    3.97811e+01    3.97835e+01    3.97855e+01    3.97872e+01    
1.02620e+03    3.86252e+01    3.89022e+01    3.90705e+01    3.91870e+01    3.93038e+01    3.94186e+01    3.94996e+01    3.95527e+01    3.95904e+01    3.96205e+01    3.96460e+01    3.96677e+01    3.96866e+01    3.97025e+01    3.97159e+01    3.97269e+01    3.97365e+01    3.97448e+01    3.97520e+01    3.97587e+01    3.98116e+01    3.98432e+01    3.98558e+01    3.98611e+01    3.98636e+01    3.98652e+01    3.98663e+01    3.98674e+01    
1.02640e+03    3.87059e+01    3.89888e+01    3.91624e+01    3.92840e+01    3.94022e+01    3.95067e+01    3.95825e+01    3.96324e+01    3.96669e+01    3.96941e+01    3.97176e+01    3.97379e+01    3.97558e+01    3.97709e+01    3.97835e+01    3.97937e+01    3.98026e+01    3.98101e+01    3.98167e+01    3.98227e+01    3.98690e+01    3.98967e+01    3.99082e+01    3.99134e+01    3.99161e+01    3.99180e+01    3.99194e+01    3.99204e+01    
1.02660e+03    3.88073e+01    3.90958e+01    3.92747e+01    3.94016e+01    3.95201e+01    3.96161e+01    3.96850e+01    3.97309e+01    3.97629e+01    3.97881e+01    3.98100e+01    3.98288e+01    3.98455e+01    3.98594e+01    3.98710e+01    3.98803e+01    3.98882e+01    3.98950e+01    3.99007e+01    3.99060e+01    3.99461e+01    3.99701e+01    3.99799e+01    3.99842e+01    3.99864e+01    3.99879e+01    3.99892e+01    3.99901e+01    
1.02680e+03    3.88798e+01    3.91708e+01    3.93510e+01    3.94774e+01    3.95945e+01    3.96840e+01    3.97509e+01    3.97973e+01    3.98296e+01    3.98551e+01    3.98772e+01    3.98961e+01    3.99127e+01    3.99266e+01    3.99381e+01    3.99472e+01    3.99551e+01    3.99616e+01    3.99671e+01    3.99721e+01    4.00085e+01    4.00294e+01    4.00378e+01    4.00413e+01    4.00431e+01    4.00444e+01    4.00454e+01    4.00463e+01    
