                                             NORMALIZED SPECTRUM
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr
1.24075e+03    8.68700e-01    8.49100e-01    8.60300e-01    8.99900e-01    9.51500e-01    9.90900e-01    1.01470e+00    1.01240e+00    1.00630e+00    1.01650e+00    1.01370e+00    1.00850e+00    1.01280e+00    1.01480e+00    1.01960e+00    1.02230e+00    1.02050e+00    1.02040e+00    1.01950e+00    1.01880e+00    
1.24150e+03    9.12800e-01    9.22500e-01    9.53100e-01    9.69300e-01    9.89600e-01    1.00980e+00    1.02480e+00    1.02030e+00    1.01340e+00    1.02530e+00    1.02180e+00    1.01630e+00    1.01880e+00    1.02000e+00    1.02330e+00    1.02530e+00    1.02390e+00    1.02330e+00    1.02250e+00    1.02220e+00    
1.24225e+03    9.51100e-01    9.67700e-01    1.02230e+00    1.03240e+00    1.00210e+00    1.01230e+00    1.02010e+00    1.01350e+00    1.00500e+00    1.01690e+00    1.01300e+00    1.00690e+00    1.00730e+00    1.00830e+00    1.01130e+00    1.01280e+00    1.01160e+00    1.01110e+00    1.01060e+00    1.01060e+00    
1.24300e+03    1.00140e+00    1.02010e+00    1.09620e+00    1.06530e+00    1.00880e+00    1.01020e+00    1.00570e+00    9.97000e-01    9.86400e-01    9.97400e-01    9.92900e-01    9.86100e-01    9.84200e-01    9.85600e-01    9.89000e-01    9.90100e-01    9.88900e-01    9.88900e-01    9.88900e-01    9.89200e-01    
1.24375e+03    1.10910e+00    1.15510e+00    1.24360e+00    1.18470e+00    1.06380e+00    1.02650e+00    9.91700e-01    9.82100e-01    9.69700e-01    9.77800e-01    9.73600e-01    9.66400e-01    9.63600e-01    9.66400e-01    9.72100e-01    9.74200e-01    9.73200e-01    9.74400e-01    9.74700e-01    9.74800e-01    
1.24450e+03    1.06510e+00    1.10340e+00    1.16990e+00    1.10160e+00    1.02070e+00    9.94000e-01    9.68700e-01    9.61600e-01    9.49200e-01    9.54100e-01    9.51200e-01    9.44600e-01    9.42000e-01    9.46100e-01    9.53800e-01    9.56700e-01    9.56300e-01    9.58400e-01    9.58900e-01    9.58900e-01    
1.24525e+03    1.07920e+00    1.12340e+00    1.17600e+00    1.09680e+00    1.00940e+00    9.69600e-01    9.36300e-01    9.32800e-01    9.23000e-01    9.24200e-01    9.23900e-01    9.19500e-01    9.18700e-01    9.24100e-01    9.33000e-01    9.36900e-01    9.37300e-01    9.40000e-01    9.40900e-01    9.40800e-01    
1.24600e+03    1.04470e+00    1.06740e+00    1.07820e+00    1.02650e+00    9.73000e-01    9.44500e-01    9.16900e-01    9.15500e-01    9.07700e-01    9.07900e-01    9.09000e-01    9.06200e-01    9.05700e-01    9.11100e-01    9.19400e-01    9.23100e-01    9.23800e-01    9.26500e-01    9.27900e-01    9.28200e-01    
1.24675e+03    9.93200e-01    1.00760e+00    1.00240e+00    9.15500e-01    9.14800e-01    9.09300e-01    9.03900e-01    9.04900e-01    8.99200e-01    8.98800e-01    9.00900e-01    8.99500e-01    8.98600e-01    9.03100e-01    9.09900e-01    9.12900e-01    9.13700e-01    9.16200e-01    9.17700e-01    9.18600e-01    
1.24750e+03    9.01300e-01    9.08900e-01    8.90000e-01    8.20800e-01    8.59300e-01    8.91700e-01    9.06700e-01    9.09400e-01    9.06400e-01    9.05000e-01    9.07200e-01    9.07200e-01    9.04600e-01    9.06700e-01    9.10000e-01    9.11300e-01    9.11900e-01    9.13200e-01    9.14200e-01    9.15400e-01    
1.24825e+03    9.48800e-01    9.70100e-01    9.84100e-01    9.30900e-01    9.12200e-01    9.06800e-01    9.06800e-01    9.07800e-01    9.05700e-01    9.04800e-01    9.06400e-01    9.06400e-01    9.03900e-01    9.05000e-01    9.06900e-01    9.07400e-01    9.08100e-01    9.08900e-01    9.09500e-01    9.10500e-01    
1.24900e+03    9.51900e-01    9.66500e-01    9.83600e-01    9.39100e-01    9.23900e-01    9.13100e-01    9.03200e-01    9.02100e-01    8.99800e-01    9.00400e-01    9.00700e-01    9.00000e-01    8.98700e-01    8.99700e-01    9.01600e-01    9.02100e-01    9.03000e-01    9.03700e-01    9.04100e-01    9.04500e-01    
1.24975e+03    9.34500e-01    9.46600e-01    9.44200e-01    9.22700e-01    9.18000e-01    9.05200e-01    9.00700e-01    8.99500e-01    8.96900e-01    8.98200e-01    8.98600e-01    8.98000e-01    8.97600e-01    8.99600e-01    9.03300e-01    9.04300e-01    9.05000e-01    9.06700e-01    9.07500e-01    9.08400e-01    
1.25050e+03    7.15900e-01    6.89300e-01    7.11200e-01    7.30400e-01    8.04000e-01    8.51700e-01    8.99900e-01    9.02300e-01    9.00300e-01    9.01700e-01    9.02900e-01    9.02800e-01    9.04300e-01    9.07300e-01    9.12700e-01    9.14600e-01    9.15200e-01    9.17600e-01    9.18600e-01    9.19800e-01    
1.25125e+03    9.34300e-01    9.37200e-01    9.34600e-01    9.21100e-01    9.20300e-01    9.16000e-01    9.09200e-01    9.12900e-01    9.13100e-01    9.13700e-01    9.16800e-01    9.18000e-01    9.22500e-01    9.26600e-01    9.33600e-01    9.36800e-01    9.37300e-01    9.40200e-01    9.41200e-01    9.42400e-01    
1.25200e+03    9.07000e-01    9.06400e-01    9.30100e-01    9.17600e-01    9.18800e-01    9.15300e-01    9.13900e-01    9.16300e-01    9.16100e-01    9.18200e-01    9.21300e-01    9.22900e-01    9.26400e-01    9.30700e-01    9.37600e-01    9.40800e-01    9.42600e-01    9.46000e-01    9.47500e-01    9.49500e-01    
1.25275e+03    9.08900e-01    9.12700e-01    9.28500e-01    9.20500e-01    9.25700e-01    9.21500e-01    9.18500e-01    9.20300e-01    9.19900e-01    9.22200e-01    9.25300e-01    9.27200e-01    9.29600e-01    9.34100e-01    9.41100e-01    9.44300e-01    9.46800e-01    9.50500e-01    9.52300e-01    9.54700e-01    
1.25350e+03    8.78700e-01    8.62100e-01    8.62900e-01    8.59200e-01    8.90200e-01    9.06600e-01    9.22500e-01    9.27100e-01    9.27100e-01    9.27600e-01    9.31500e-01    9.33800e-01    9.36400e-01    9.41100e-01    9.48800e-01    9.52200e-01    9.54600e-01    9.58400e-01    9.60000e-01    9.62200e-01    
1.25425e+03    9.12700e-01    9.11900e-01    9.08300e-01    9.02700e-01    9.21400e-01    9.30100e-01    9.34800e-01    9.38500e-01    9.39700e-01    9.40200e-01    9.44000e-01    9.46600e-01    9.49600e-01    9.53600e-01    9.60500e-01    9.63300e-01    9.65400e-01    9.68900e-01    9.70400e-01    9.72500e-01    
1.25500e+03    9.41200e-01    9.46500e-01    9.46300e-01    9.26200e-01    9.24200e-01    9.33900e-01    9.40500e-01    9.44500e-01    9.46900e-01    9.47300e-01    9.50900e-01    9.53800e-01    9.57000e-01    9.60100e-01    9.65600e-01    9.67600e-01    9.69200e-01    9.72100e-01    9.73400e-01    9.75300e-01    
